"","value","distance","Source"
"226",0.135428248745852,287.5,"Haul"
"227",0.282484175414328,287.5,"Haul"
"228",0.0596431479325168,287.5,"Haul"
"229",1,0,"GOR"
"230",0.182926829,118.1035379,"GOR"
"231",0.048780488,165.4670821,"GOR"
"232",0.024390244,243.6430301,"GOR"
"233",0.158536585,178.1041022,"GOR"
"234",0.12195122,182.5772008,"GOR"
"235",0.048780488,267.3719597,"GOR"
"236",0.231707317,110.6234242,"GOR"
"237",0.182926829,118.9943226,"GOR"
"238",0.140350877,118.1035379,"GOR"
"239",1,0,"GOR"
"240",0.210526316,94.47799143,"GOR"
"241",0.00877193,347.6645387,"GOR"
"242",0.035087719,295.7696853,"GOR"
"243",0.175438596,128.712832,"GOR"
"244",0.035087719,290.0268038,"GOR"
"245",0.070175439,192.8751759,"GOR"
"246",0.035087719,224.4545779,"GOR"
"247",0.045454545,165.4670821,"GOR"
"248",0.340909091,94.47799143,"GOR"
"249",1,0,"GOR"
"250",0,409.1090515,"GOR"
"251",0.022727273,333.6402865,"GOR"
"252",0.272727273,36.33315256,"GOR"
"253",0.022727273,218.7750365,"GOR"
"254",0.068181818,183.9718128,"GOR"
"255",0,284.3256157,"GOR"
"256",0.047619048,243.6430301,"GOR"
"257",0.023809524,347.6645387,"GOR"
"258",0,409.1090515,"GOR"
"259",1,0,"GOR"
"260",0.095238095,119.9404457,"GOR"
"261",0.023809524,424.5301236,"GOR"
"262",0,454.3620746,"GOR"
"263",0.023809524,283.4507036,"GOR"
"264",0.166666667,125.0392204,"GOR"
"265",0.060344828,178.1041022,"GOR"
"266",0.025862069,295.7696853,"GOR"
"267",0.00862069,333.6402865,"GOR"
"268",0.025862069,119.9404457,"GOR"
"269",1,0,"GOR"
"270",0.025862069,340.8092932,"GOR"
"271",0.017241379,340.2103044,"GOR"
"272",0.103448276,177.2318847,"GOR"
"273",0.120689655,98.15775239,"GOR"
"274",0.068627451,182.5772008,"GOR"
"275",0.107843137,128.712832,"GOR"
"276",0.166666667,36.33315256,"GOR"
"277",0,424.5301236,"GOR"
"278",0.019607843,340.8092932,"GOR"
"279",1,0,"GOR"
"280",0.088235294,186.6846784,"GOR"
"281",0.068627451,178.8508198,"GOR"
"282",0.019607843,301.0353278,"GOR"
"283",0.01980198,267.3719597,"GOR"
"284",0.01980198,290.0268038,"GOR"
"285",0.01980198,218.7750365,"GOR"
"286",0,454.3620746,"GOR"
"287",0.01980198,340.2103044,"GOR"
"288",0.108910891,186.6846784,"GOR"
"289",1,0,"GOR"
"290",0.059405941,174.9741716,"GOR"
"291",0.00990099,354.2738716,"GOR"
"292",0.19047619,110.6234242,"GOR"
"293",0.095238095,192.8751759,"GOR"
"294",0.047619048,183.9718128,"GOR"
"295",0.011904762,283.4507036,"GOR"
"296",0.119047619,177.2318847,"GOR"
"297",0.095238095,178.8508198,"GOR"
"298",0.083333333,174.9741716,"GOR"
"299",1,0,"GOR"
"300",0.05952381,179.3512903,"GOR"
"301",0.155339806,118.9943226,"GOR"
"302",0.038834951,224.4545779,"GOR"
"303",0.009708738,284.3256157,"GOR"
"304",0.067961165,125.0392204,"GOR"
"305",0.165048544,98.15775239,"GOR"
"306",0.019417476,301.0353278,"GOR"
"307",0.019417476,354.2738716,"GOR"
"308",0.067961165,179.3512903,"GOR"
"309",1,0,"GOR"
